"SK_MATRICULA";"NM_LOCALIDADE";"NM_CATEGORIATARIFARIA";"NM_SITUACAO_IMOVEL";"NN_MORADORES";"ST_PISCINA";"LAT_GEO";"LONG_GEO"
"6E60FF997A2A7FD7665AC40BAD9BE286D7C47A1C3521CE69B3BEEFA4D3A8261E";SALVADOR UMB;RESIDENCIAL;HABITADO;1;0;-12.938243;-38.35922
E6195B23791D174F7C612B6324CACDED0CBDC2283FC728F1562AEF7E119EA2F9;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.934564;-38.355526
"0C2ED22E52F7B889C5DCB715B44E40C0CF4E25A77F1A17A3182C9529C3EAA768";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.940582;-38.3624
F7A4B97D7DEF2A835512B794741959F82DCD70D9F05C1629D6575D919573EECE;SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;;
"6A2760035D2B966645C7FCAD92CDA3835A968E8C93A25EA0C95A6D036BB32AD5";SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;;
"6D38EE4CEC85F41B626000179F50D3599EEFA9B20AC328D146A9D86D6D2C5FDE";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.944986;-38.370763
"0420BAE41A9CA4FBA6CE1F1E120C73D05448330C834D7264E4281F00B27DB7B6";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.940044;-38.359239
"97FC29B6E72F10C924D784E05B6C3603812C3F03E049911761A4F00AC54B8DE9";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.94545;-38.368434
B3A1BD148B0A52D379D291ADC15D51CD3E50BC6D6729AC17C5EB64C16FC83F84;SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.936503;-38.362119
"60F922C26D884573D9567CC35A6E40472DCD737FCB25B0E253A978C015F60623";SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.941373;-38.362105
DF707B549ED3132E610138085145972B3888ACD5BAC222251182500EBCCA810F;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.940993;-38.365721
A7471E5204FFDED90AD35A358B7E62F36BBE6A4E6595D0A221921F84595F71E1;SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.936122;-38.357977
F42C2F7BBC2E07CF9DFED56796A63BE3714265E4ADAFFCF59492B20B953C49DF;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.938812;-38.358507
CD45A161F2C6206C73974B6550F188F1C23F3DB75BFC0792FFBF13FE59794D72;SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.939531;-38.368382
CF1D69081E60A8B290AD42ABB934361FC5CC66B36F559F4C8C8A0E058A4EE667;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.937097;-38.360503
"911991D29D615FDB6BE9F75F807B3C686B2BC3CF20048ABD0A16C008EE4F9292";SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.937574;-38.359923
F2C0907B50B56407449F40873B1428DB722EEB0B768C58190AD348D8E0C9F9AD;SALVADOR UMB;RESIDENCIAL;HABITADO;6;0;-12.93581;-38.366995
FEE9FFC2F4A50694649F8C6FBD4314FB27F3BC05C65A1E0DFF9269E7AE72F182;SALVADOR UMB;RESIDENCIAL;HABITADO;3;1;-12.928132;-38.357698
D0249B7C14887929B90560C54535CA62756346612CDE091BBCAF584B8DE39A62;SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.935719;-38.369695
"47E96CD1EC28DF1AAC1EED184E7A5828E86729D54840F2B9E522616EE9AF8BD7";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.945739;-38.370596
"551B0AEF6EC872116CE04E473BAC7656630757C6F7CFFA59825C081391B0B60C";SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.948946;-38.368866
"07DAEC2E8ED40C0416CBFD6337D379814B4B11CA8004B15C8BBFE3EBCBFA9D16";SALVADOR UMB;RESIDENCIAL;HABITADO;1;0;-12.942531;-38.362151
"81FD9F54F0EBD9A34422616F41B42E3615EBA696A5EF42C50071D48D0129AE7E";SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.94304;-38.366271
B48522EAA141CBCCD409310B0558C6B144BDB9C9D5F0292EB1834196B7B824C6;SALVADOR UMB;RESIDENCIAL;HABITADO;6;0;-12.942035;-38.362636
"5B1CC6B429D7D346CADDB8B899F166E6197C1E7280F31CCCCD374E405FEE9C58";SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.935289;-38.358898
"869EA83A512C5209371B3730D6E21AA23E766AFA0EDE1D04C798B300F3F1E6E1";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.943133;-38.362605
"76CFE74C624D1052FF5A41238D96B3BB6C3A38C651AAD4CE7E145F826DE13734";SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.950188;-38.345694
B3E88003E14835085D2B358EB4D97B93ED9F3AC76E5A9CA70C0C28C045E3A5A4;SALVADOR UMB;RESIDENCIAL;HABITADO;6;0;-12.940581;-38.364706
"3D4E16C15FEDED647D8851A26F854E2D94C1D0332F0749A75A1851F1B5808F10";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.924113;-38.358163
"4B03BC9806347C32F9FDAC3D8DEAF1F8817F24C5413DD6E1C09972A51467A4D4";SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.937132;-38.365877
B046956A33B7F0E321412841E847EB82E1B310172AEB91FBB45C3A5E13E02EF9;SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.935335;-38.367577
"3A42B772C6A46ABE48E95AB5A5F6B55A59326DD430E68A6A375591A8A94B4232";SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.932967;-38.370068
"3FBD80091DE6138FEF83BD2FDD4B3C6E3DFC829EC196EFB3402E274C446D5487";SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.939319;-38.357678
"9AC88E2F344AD13B8F597DD2CB42481F6450E891DB56ACB0F27B3C98FE76C74D";SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.935112;-38.358196
"6523F16D91BA3724ECA294050CB6472898FC69739661FDCB86A391F79D4D4377";SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.938241;-38.355419
"3450D60F9186A7F8EE9B23BF695A3BA66B740E7E7EF7A49B7FDB3283E401622B";SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.940364;-38.368968
"60CEF0FC0373BEC6AE53108283DE08A9594F79C8FFEA02C7CC2C16AD79EF64EB";SALVADOR UMB;RESIDENCIAL;HABITADO;6;0;-12.940143;-38.362848
"8F7BDDC44BB1B5932485E8F68D40669FDF1C298EF0972160133EEDAED313C6A3";SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.939113;-38.361499
"2A6356C5EA449EEF6D6393E62AA9AE21C755163E965E09923168760D5E1D237A";SALVADOR UMB;RESIDENCIAL;HABITADO;12;0;-12.939713;-38.359504
"08248CBB2D9246B512BEF718AFE5F4CB043D625D3DCA9831D8856337466EB50B";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.940179;-38.361141
A2C7FE0F1A98FC0BEC63088DFC652D0CD960C0718F4ADEE518F269E5A13D0EDE;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.941392;-38.365631
F50D5B464206C33AABE8E1A973AC81852AC850B5094EF065124235FA0A00D171;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.942356;-38.366697
"1849AD9FC85E974E3D08A13C9B6061854FA08CC9136D6C64CD10E4A789402760";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.949803;-38.348448
"1729C6C152F463D9D57CDBAAA774143B7EA7C15922748D89F73646F72B424B93";SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.946066;-38.367435
BB51E0AAE026DDAB03F8BA512FF76D6B8490F029F9E45BF0E8C14E97198A2CB1;SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.946169;-38.366006
"0C783320117E329D69FB055E5630D8FA2F9F71D18D5FE81FDA414960A4B0F08E";SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.948713;-38.365095
"4FB67428E1E316B026F870BB7E97A52AA0907A4508E2EEDEE5499FB3BBBCCB72";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.947292;-38.365082
FA5C40A011803D1C7A2F52964BA3FC7D8CA0F659A91DBB0D8BDAF55E02A38A64;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.949864;-38.363349
"39F81E2F1A995EECB7103365F890105E128A4D2E33318793BAE11810AB7875FC";SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.949865;-38.363131
"628934942FE19CC09C7B7BC0497E76684992702694CBD597A1E2CB13413905CE";SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.94925;-38.362726
A2529097E373F47D4CCE72E0EB6025AB4EA630AEA29C164DF6F42D06486B778E;SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.946739;-38.363634
"45AEE9A4A7D29F62CEF20408DEEF21E9ECDC8347EBA3BD922D6B9A6B61E693B3";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.951727;-38.374377
FAA450F09F5C93E9C3155936FFD04F9153F059027E0CE52384E2C905A50CD6AE;SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.948466;-38.370838
"0998F159908B5C60477C8D601E06119BD763858657716CC4373464E31DFFE0A1";SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.947196;-38.371138
"67842B2103788C28708088ADAB14D74320EFC8F4E7E61856FDFFCA6B78290E99";SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.924801;-38.357056
FE834B441CAFF3AACD20DAA3241B28DDBFA953E1E7159D7785F5A25B0423C427;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.948417;-38.371846
"42618D90E24EE627836A761F188F17CB67E1BD3F705C64649CCFC89532EDD4BB";SALVADOR UMB;RESIDENCIAL;HABITADO;2;0;-12.946464;-38.370961
"40F4DEF59A6BECC7EF528FD32F8BCD6FF6CD0B9D72608184CF4792CA6115242A";SALVADOR UMB;RESIDENCIAL;HABITADO;3;0;-12.94755;-38.369871
"2D69293B9A78009300EF63754175E52323EF8699D8D90EFF273BD9F996A29579";SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.949044;-38.369951
"17A0B9D3AA4963F0ED3924739F7F13D91B5653AADB53C16D4241AC743109294D";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.94489;-38.370799
"5DF600F060B8010C79574C646EF30A47D7A7C945BC2434F52D752FB217B0986D";SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.945553;-38.370548
"085BB796DD789C62209F662B8BD024E25CCEB9749B94CAB059ADFC8B509A9D09";SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.945887;-38.369629
B48127888C30B78D95B3A0916EC1A8F6E3E8BE52A9E1795335BE19C55D001299;SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.949543;-38.369572
B1D24E365450E51C4CC642EE78E0BBDEBA44089D195AD9E8782E7F4677DFF440;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.949045;-38.369852
